brand_id,brand_name,industry_major,industry_mid,year,n_stores,deterioration_1y,risk_grade,startup_cost_mkrw,exposure_mkrw,exposure_ekw,exposure_share,is_stressed,det_stressed,startup_total,deterioration_rank_pct,el_lgd30_mkrw,stress_el_lgd30_mkrw,el_lgd45_mkrw,stress_el_lgd45_mkrw,el_lgd60_mkrw,stress_el_lgd60_mkrw,exposure_basis,exposure_is_synthetic
BRD_20080100573,나이스가이,서비스,이미용,2023,230.0,0.11795508853878975,Low,51.5,1066.05,10.660499999999999,0.02209576690771255,False,0.11795508853878975,51500.0,0.643312101910828,37.723806641033036,37.723806641033036,56.58570996154956,56.58570996154956,75.44761328206607,75.44761328206607,disclosed_startup_cost,False
BRD_20100100423,웰킨두피탈모센터,서비스,기타 서비스,2023,52.0,0.01796631038266894,Low,224.1,1048.7879999999998,10.487879999999997,0.021737981505188336,False,0.01796631038266894,224100.0,0.21894904458598727,5.652855220085577,5.652855220085577,8.479282830128366,8.479282830128366,11.305710440171154,11.305710440171154,disclosed_startup_cost,False
BRD_20150816,윤선생우리집앞영어교실,서비스,교육 (외국어),2023,688.0,0.1460746370853168,Medium,16.794,1039.88448,10.398844799999999,0.021553440346163757,False,0.1460746370853168,16794.0,0.7372611464968153,45.57022440799601,45.57022440799601,68.35533661199402,68.35533661199402,91.14044881599202,91.14044881599202,disclosed_startup_cost,False
BRD_20200365,맛있는 고기에 솜씨를 더하다,외식,한식,2023,79.0,0.017965291025815993,Low,142.7,1014.5969999999999,10.145969999999998,0.02102931271259737,False,0.017965291025815993,142700.0,0.09872611464968153,5.4682591136759475,5.4682591136759475,8.202388670513923,8.202388670513923,10.936518227351895,10.936518227351895,disclosed_startup_cost,False
BRD_20190909,무지개맥주,외식,주점,2023,103.0,0.15182168696846654,Medium,88.55,820.8584999999999,8.208585,0.017013740518938662,False,0.15182168696846654,88550.0,0.7802547770700637,37.387236669721496,37.387236669721496,56.08085500458225,56.08085500458225,74.77447333944299,74.77447333944299,disclosed_startup_cost,False
BRD_20110100125,커피스미스,외식,기타 외식,2023,33.0,0.11795508697775323,Low,252.215,749.0785499999998,7.4907854999999985,0.015525974425559117,False,0.11795508697775323,252215.0,0.642515923566879,26.507287655525776,26.507287655525776,39.760931483288665,39.760931483288665,53.01457531105155,53.01457531105155,disclosed_startup_cost,False
BRD_20090600074,개정,외식,한식,2023,23.0,0.02953956775754797,Low,349.0,722.43,7.2242999999999995,0.014973636215129475,False,0.02953956775754797,349000.0,0.37420382165605093,6.402080980525614,6.402080980525614,9.603121470788421,9.603121470788421,12.804161961051229,12.804161961051229,disclosed_startup_cost,False
BRD_20201295,기파랑문해원,서비스,교육 (교과),2023,48.0,0.02953892461049833,Low,138.7,599.1839999999999,5.991839999999999,0.012419145442362773,False,0.02953892461049833,138700.0,0.3049363057324841,5.309775301145048,5.309775301145048,7.964662951717572,7.964662951717572,10.619550602290095,10.619550602290095,disclosed_startup_cost,False
BRD_20211774,육회바른연어,외식,기타 외식,2023,75.0,0.029539149399758397,Low,72.125,486.84375,4.8684375,0.010090695577577677,False,0.029539149399758397,72125.0,0.32961783439490444,4.314285079676588,4.314285079676588,6.471427619514882,6.471427619514882,8.628570159353176,8.628570159353176,disclosed_startup_cost,False
BRD_20180711,비스트로피자,외식,패스트푸드,2023,87.0,0.029539055737566704,Low,60.97,477.39509999999996,4.773950999999999,0.009894855637619365,False,0.029539055737566704,60970.0,0.3184713375796178,4.230540140322368,4.230540140322368,6.345810210483553,6.345810210483553,8.461080280644737,8.461080280644737,disclosed_startup_cost,False
BRD_20141179,소담촌,외식,기타 외식,2023,96.0,0.017965211412953052,Low,53.06,458.43839999999994,4.584383999999999,0.009501944587913033,False,0.017965211412953052,53060.0,0.08837579617834394,2.4707828327447805,2.4707828327447805,3.706174249117171,3.706174249117171,4.941565665489561,4.941565665489561,disclosed_startup_cost,False
BRD_20201339,마요네즈 (mayonnaise),외식,일식,2023,39.0,0.08219673555185848,Low,121.7,427.16700000000003,4.27167,0.008853789655894983,False,0.08219673555185848,121700.0,0.5039808917197452,10.53351988064422,10.53351988064422,15.800279820966333,15.800279820966333,21.06703976128844,21.06703976128844,disclosed_startup_cost,False
BRD_20140422,홍익궁중전통육개장,외식,한식,2023,37.0,0.11795497614415971,Low,127.29,423.8757,4.238757,0.00878557165709253,False,0.11795497614415971,127290.0,0.6313694267515924,14.999474424476698,14.999474424476698,22.49921163671505,22.49921163671505,29.998948848953397,29.998948848953397,disclosed_startup_cost,False
BRD_20150356,순남시래기,외식,기타 외식,2023,41.0,0.1460749196329284,Medium,113.3,418.07699999999994,4.180769999999999,0.008665383369894225,False,0.1460749196329284,113300.0,0.76671974522293,18.32116925261274,18.32116925261274,27.48175387891911,27.48175387891911,36.64233850522548,36.64233850522548,disclosed_startup_cost,False
BRD_20200015,장가네 일품순두부,외식,한식,2023,27.0,0.01796525668301237,Low,159.1,386.61299999999994,3.8661299999999996,0.008013236463103486,False,0.01796525668301237,159100.0,0.09315286624203821,2.083680534596838,2.083680534596838,3.125520801895257,3.125520801895257,4.167361069193676,4.167361069193676,disclosed_startup_cost,False
BRD_20160063,엉터리생고기 두번째이야기 무한삼겹,외식,기타 외식,2023,33.0,0.40000977833281304,High,119.4,354.618,3.54618,0.007350083644556268,True,0.6000146674992195,119400.0,0.982484076433121,42.555200271847646,63.832800407771465,63.83280040777148,95.7492006116572,85.11040054369529,127.66560081554293,disclosed_startup_cost,False
BRD_20200165,텐코인,서비스,오락,2023,25.0,0.14607500080682786,Medium,157.4,354.15,3.5414999999999996,0.007340383518940387,False,0.14607500080682786,157400.0,0.7722929936305732,15.519738460721424,15.519738460721424,23.279607691082138,23.279607691082138,31.039476921442848,31.039476921442848,disclosed_startup_cost,False
BRD_20201595,"쉼, 어묵 그리고 한잔 술",외식,주점,2023,50.0,0.14607492275500145,Medium,75.7,340.65,3.4065,0.007060572203097678,False,0.14607492275500145,75700.0,0.767515923566879,14.92812673094737,14.92812673094737,22.392190096421057,22.392190096421057,29.85625346189474,29.85625346189474,disclosed_startup_cost,False
BRD_20161022,뼈큰감자탕,외식,한식,2023,23.0,0.21250829534811114,Medium,164.5,340.515,3.40515,0.0070577740899392515,False,0.21250829534811114,164500.0,0.8519108280254777,21.708678657138616,21.708678657138616,32.56301798570793,32.56301798570793,43.41735731427723,43.41735731427723,disclosed_startup_cost,False
BRD_20191322,선식당,외식,서양식,2023,27.0,0.029538411029480533,Low,124.3,302.049,3.0204899999999997,0.00626049838066476,False,0.029538411029480533,124300.0,0.24522292993630573,2.676614253913069,2.676614253913069,4.014921380869604,4.014921380869604,5.353228507826138,5.353228507826138,disclosed_startup_cost,False
BRD_20190381,온기정,외식,일식,2023,21.0,0.14607446068818908,Medium,156.05,294.9345,2.949345,0.006113037817215654,False,0.14607446068818908,156050.0,0.7125796178343949,12.92471940775221,12.92471940775221,19.387079111628317,19.387079111628317,25.84943881550442,25.84943881550442,disclosed_startup_cost,False
BRD_20210462,오늘도 한우,외식,한식,2023,23.0,0.22728157210569636,High,141.35,292.5944999999999,2.925944999999999,0.006064537189136249,False,0.22728157210569636,141350.0,0.9004777070063694,19.950401384844046,19.950401384844046,29.925602077266074,29.925602077266074,39.90080276968809,39.90080276968809,disclosed_startup_cost,False
BRD_20200343,미도인(味道人),외식,기타 외식,2023,26.0,0.08219674023496806,Low,124.59,291.5406,2.915406,0.006042693252412796,False,0.08219674023496806,124590.0,0.5047770700636943,7.189106089844018,7.189106089844018,10.783659134766028,10.783659134766028,14.378212179688036,14.378212179688036,disclosed_startup_cost,False
BRD_20201117,오레노카츠,외식,일식,2023,28.0,0.029538979246776818,Low,114.76,289.1952,2.891952,0.005994080699807057,False,0.029538979246776818,114760.0,0.31130573248407645,2.562759303320241,2.562759303320241,3.844138954980362,3.844138954980362,5.125518606640482,5.125518606640482,disclosed_startup_cost,False
BRD_20080200009,베스트올,도소매,편의점,2023,33.0,0.1702205664569785,Medium,94.2,279.77399999999994,2.7977399999999992,0.00579880970952429,False,0.1702205664569785,94200.0,0.7977707006369427,14.286986627980408,14.286986627980408,21.430479941970614,21.430479941970614,28.573973255960816,28.573973255960816,disclosed_startup_cost,False
BRD_20214653,효자동솥뚜껑삼겹살감자탕순대국,외식,한식,2023,43.0,0.14607466986708387,Medium,71.2,275.544,2.7554399999999997,0.005711135497226909,False,0.14607466986708387,71200.0,0.7380573248407644,12.074999650156727,12.074999650156727,18.11249947523509,18.11249947523509,24.149999300313453,24.149999300313453,disclosed_startup_cost,False
BRD_20211235,샤오바오우육면,외식,중식,2023,37.0,0.14607445132196992,Medium,79.8,265.734,2.6573399999999996,0.005507805941047874,False,0.14607445132196992,79800.0,0.7109872611464968,11.645084474277704,11.645084474277704,17.467626711416557,17.467626711416557,23.290168948555408,23.290168948555408,disclosed_startup_cost,False
