brand_id,year,brand_name,industry_major,industry_mid,n_stores,deterioration_1y,score_raw,deterioration_step,deterioration_rank_pct,brand_state,n_events_at_t,in_model_population,risk_grade,grade,factor1,factor1_shap,factor2,factor2_shap,factor3,factor3_shap
BRD_20210892,2024,권사부 마약칼국수,외식,한식,5.0,0.42874822492537884,0.7634146375771815,0.42857142857142855,0.9872509960159362,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.38548,[구조] 지역당 평균 점포수,0.274,[변화] 점포 증가율,0.25707
BRD_20221308,2024,볶음밥잇츄,외식,한식,9.0,0.4287458832518166,0.7623851569262898,0.42857142857142855,0.9868525896414343,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.55887,[변화] 점포 증가율,0.26535,[수준] 평균매출,0.18405
BRD_20150904,2024,꼬마대통령,서비스,유아관련,18.0,0.42874354157825434,0.7622129905503271,0.42857142857142855,0.9864541832669322,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41601,[변화] 점포 증가율,0.30073,[구조] 지역당 평균 점포수,0.25673
BRD_20130232,2024,상상블럭,서비스,유아 관련 (교육 외),13.0,0.42874119990469206,0.7618816431462554,0.42857142857142855,0.9860557768924303,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41846,[변화] 점포 증가율,0.3121,[구조] 지역당 평균 점포수,0.29469
BRD_20220222,2024,찜닭특공대,외식,한식,17.0,0.42873885823112984,0.7610762234320895,0.42857142857142855,0.9856573705179282,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.43491,[업종상대] 실질 매출 증가율 백분위,0.15017,[수준] 평균매출,0.14374
BRD_20211955,2024,삼계탕이요,외식,한식,31.0,0.42873651655756756,0.7609568524190116,0.42857142857142855,0.9852589641434263,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44702,[구조] 지역당 평균 점포수,0.29583,[변화] 점포 증가율,0.25813
BRD_20200484,2024,국대후라이드치킨,외식,치킨,0.0,0.42873417488400534,0.7608275150127694,0.42857142857142855,0.9848605577689243,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.4326,[변화] 점포 증가율,0.2097,[추세] 점포 증가율 평균,0.18155
BRD_20212274,2024,타코아찌 타코야끼전문점,외식,일식,46.0,0.42873183321044306,0.7601429671834583,0.42857142857142855,0.9844621513944223,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.4581,[변화] 점포 증가율,0.25574,[추세] 점포 증가율 평균,0.19447
BRD_20210019,2024,볶찜,외식,한식,28.0,0.4287294915368808,0.7595534722746213,0.42857142857142855,0.9840637450199203,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.46983,[변화] 점포 증가율,0.31039,[구조] 지역당 평균 점포수,0.30539
BRD_20200249,2024,신나게쌈빠찹쌀강정,외식,기타 외식,22.0,0.42872714986331856,0.7590912082067088,0.42857142857142855,0.9836653386454183,건전,0,True,High,FS3,[업종상대] 계약종료 백분위,0.44344,[변화] 점포 증가율,0.24699,[추세] 면적당매출 평균,0.19195
BRD_20201043,2024,꼬치의품격,외식,기타 외식,39.0,0.4287248081897563,0.758298467130133,0.42857142857142855,0.9832669322709163,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41796,[변화] 점포 증가율,0.29039,[구조] 지역당 평균 점포수,0.28303
BRD_20220521,2024,대한마라,외식,중식,0.0,0.42872246651619406,0.7581999773238313,0.42857142857142855,0.9828685258964144,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.5003,[변화] 점포 증가율,0.25762,[추세] 점포 증가율 평균,0.20047
BRD_20150855,2024,김작가의이중생활,외식,주점,0.0,0.4287201248426318,0.7580175858303924,0.42857142857142855,0.9824701195219123,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.41278,[변화] 점포 증가율,0.2698,[추세] 점포 증가율 평균,0.20231
BRD_20215862,2024,포도,도소매,기타도소매,18.0,0.4287177831690695,0.7578268546380383,0.42857142857142855,0.9820717131474104,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.53888,[구조] 지역당 평균 점포수,0.31282,[변화] 점포 증가율,0.28507
BRD_20210454,2024,청담곱떡,외식,기타 외식,48.0,0.4287154414955073,0.7577591562799232,0.42857142857142855,0.9816733067729083,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.52571,[변화] 점포 증가율,0.25531,[수준] 평균매출,0.14545
BRD_20141032,2024,Lamfore(렘포레),서비스,기타 교육,11.0,0.428713099821945,0.7573344635846311,0.42857142857142855,0.9812749003984064,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42088,[변화] 점포 증가율,0.28561,[구조] 지역당 평균 점포수,0.28536
BRD_20212547,2024,덮밥집이야,외식,한식,34.0,0.4287107581483828,0.7572254792804983,0.42857142857142855,0.9808764940239044,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.61328,[변화] 점포 증가율,0.23359,[구조] 지역당 평균 점포수,0.16805
BRD_20191291,2024,캠핑고래,도소매,기타도소매,34.0,0.4287084164748205,0.7568740625797286,0.42857142857142855,0.9804780876494024,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.33358,[구조] 지역당 평균 점포수,0.25477,[변화] 점포 증가율,0.23047
BRD_20200553,2024,노상치킨,외식,치킨,44.0,0.4287060748012582,0.7564482752480962,0.42857142857142855,0.9800796812749004,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.49179,[추세] 면적당매출 평균,0.22815,[추세] 매출 증가율 평균,0.15898
BRD_20210758,2024,보글지글,외식,기타 외식,0.0,0.428703733127696,0.7563697632331725,0.42857142857142855,0.9796812749003984,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.47618,[변화] 점포 증가율,0.2576,[추세] 점포 증가율 평균,0.20616
BRD_20211543,2024,유지노(UXINO)헤어,서비스,이미용,15.0,0.4287013914541337,0.7562031004412035,0.42857142857142855,0.9792828685258964,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.52016,[변화] 점포 증가율,0.27333,[추세] 점포 증가율 평균,0.19469
BRD_20210926,2024,시카고부대찌개,외식,한식,37.0,0.4286990497805715,0.7557518776549478,0.42857142857142855,0.9788844621513945,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.45564,[추세] 점포 증가율 평균,0.17052,[구조] 지역당 평균 점포수,0.12847
BRD_20180953,2024,파파도나스,외식,제과제빵,8.0,0.4286967081070092,0.7550102353898656,0.42857142857142855,0.9784860557768924,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.45692,[변화] 점포 증가율,0.34001,[구조] 지역당 평균 점포수,0.32248
BRD_20212154,2024,부뚜막김치찜,외식,한식,58.0,0.428694366433447,0.7542333917066124,0.42857142857142855,0.9780876494023905,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.57205,[변화] 점포 증가율,0.25357,[업종상대] 실질 매출 증가율 백분위,0.14809
NAME:케이콜라보김밥떡볶이@외식,2024,케이콜라보김밥·떡볶이,외식,분식,12.0,0.4286920247598847,0.7531937486912512,0.42857142857142855,0.9776892430278884,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.49956,[변화] 점포 증가율,0.25867,[추세] 점포 증가율 평균,0.22185
BRD_20212392,2024,인생짜글이&비빔밥,외식,한식,9.0,0.42868968308632244,0.752099317425941,0.42857142857142855,0.9772908366533865,건전,0,True,High,FS3,[구조] 지역당 평균 점포수,0.37343,[변화] 점포 증가율,0.27075,[업종상대] 계약종료 백분위,0.22742
BRD_20211088,2024,THE 더 맛있는 과일&1L커피,외식,커피,13.0,0.4286873414127602,0.7520034681752074,0.42857142857142855,0.9768924302788845,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.43925,[구조] 지역당 평균 점포수,0.30953,[변화] 점포 증가율,0.24745
BRD_20141140,2024,지지지 고대곡물피자,외식,피자,0.0,0.42868499973919794,0.7518630988658579,0.42857142857142855,0.9764940239043824,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.47624,[변화] 점포 증가율,0.27307,[추세] 점포 증가율 평균,0.23571
BRD_20211998,2024,연돈튀김덮밥,외식,분식,31.0,0.4286826580656357,0.7515235239478254,0.42857142857142855,0.9760956175298805,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.5417,[구조] 지역당 평균 점포수,0.31679,[변화] 점포 증가율,0.29244
BRD_20200943,2024,보스턴 샐러드 하우스,외식,기타 외국식,20.0,0.42868031639207343,0.7511879780523263,0.42857142857142855,0.9756972111553784,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.51159,[구조] 지역당 평균 점포수,0.29461,[변화] 점포 증가율,0.24718
BRD_20150487,2024,만나고쪽갈비가,외식,한식,17.0,0.42867797471851116,0.7511476405964053,0.42857142857142855,0.9752988047808765,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.36268,[구조] 지역당 평균 점포수,0.26504,[변화] 점포 증가율,0.24417
BRD_20171166,2024,봉구의간식,도소매,기타도소매,7.0,0.42867563304494893,0.7511270145147494,0.42857142857142855,0.9749003984063745,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.50147,[변화] 점포 증가율,0.27528,[추세] 점포 증가율 평균,0.21384
BRD_20090100171,2024,플레이타임,서비스,유아 관련 (교육 외),14.0,0.42867329137138666,0.7511043097671822,0.42857142857142855,0.9745019920318725,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.44123,[변화] 점포 증가율,0.32946,[구조] 지역당 평균 점포수,0.32364
BRD_20201240,2024,오늘은카레,외식,기타 외국식,20.0,0.42867094969782443,0.7509628166192033,0.42857142857142855,0.9741035856573705,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.43248,[구조] 지역당 평균 점포수,0.2918,[변화] 점포 증가율,0.28881
BRD_20211123,2024,스참,외식,분식,13.0,0.42866860802426215,0.7501133730965658,0.42857142857142855,0.9737051792828685,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.47618,[구조] 지역당 평균 점포수,0.28509,[변화] 점포 증가율,0.28012
BRD_20200417,2024,한끼삼계탕,외식,한식,12.0,0.4286662663506999,0.7500757879753027,0.42857142857142855,0.9733067729083665,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40358,[구조] 지역당 평균 점포수,0.28547,[변화] 점포 증가율,0.25007
BRD_20150433,2024,리브로아르츠(LIBROARTS),서비스,기타 교육,30.0,0.42866392467713765,0.7498977480867853,0.42857142857142855,0.9729083665338646,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.42848,[변화] 점포 증가율,0.27396,[구조] 지역당 평균 점포수,0.237
BRD_20191055,2024,티나스타일속눈썹&펌,서비스,이미용,28.0,0.4286615830035754,0.7498553353991311,0.42857142857142855,0.9725099601593625,건전,0,True,High,FS3,[업종상대] 계약종료 백분위,0.44992,[추세] 매출 증가율 평균,0.14888,[추세] 면적당매출 평균,0.14652
BRD_20221273,2024,정동진칼국수,외식,기타 외식,40.0,0.42865924133001315,0.7494463508539394,0.42857142857142855,0.9721115537848606,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.5073,[변화] 점포 증가율,0.27302,[구조] 지역당 평균 점포수,0.1602
BRD_20214536,2024,샐러딧,외식,기타 외식,14.0,0.4286568996564509,0.7488183686186151,0.42857142857142855,0.9717131474103585,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.45097,[구조] 지역당 평균 점포수,0.30511,[변화] 점포 증가율,0.27136
BRD_20160955,2024,부여통닭,외식,치킨,6.0,0.4286545579828886,0.7484818436866755,0.42857142857142855,0.9713147410358566,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.39724,[변화] 점포 증가율,0.3091,[구조] 지역당 평균 점포수,0.30228
BRD_20230829,2024,수라섬 장칼국수,외식,한식,19.0,0.4286522163093264,0.7483634624978626,0.42857142857142855,0.9709163346613546,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41462,[구조] 지역당 평균 점포수,0.2799,[변화] 점포 증가율,0.23376
BRD_20140735,2024,육회한 감전통닭,외식,기타 외식,1.0,0.4286498746357641,0.7482336116190116,0.42857142857142855,0.9705179282868526,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.38029,[변화] 점포 증가율,0.26768,[구조] 지역당 평균 점포수,0.26745
BRD_20151197,2024,미스터힐링,서비스,기타 서비스,24.0,0.42864753296220187,0.7479326258022536,0.42857142857142855,0.9701195219123506,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.42287,[변화] 점포 증가율,0.29939,[추세] 점포 증가율 평균,0.16743
BRD_20211100,2024,유캔두잇,외식,기타 외식,57.0,0.4286451912886396,0.7472828933128096,0.42857142857142855,0.9697211155378486,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.61284,[변화] 점포 증가율,0.29151,[수준] 평균매출,0.13325
BRD_20201414,2024,모두의 주방,서비스,임대,12.0,0.42864284961507737,0.7464653958252818,0.42857142857142855,0.9693227091633466,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.50744,[변화] 점포 증가율,0.28427,[추세] 점포 증가율 평균,0.18014
BRD_20140920,2024,옥탑방오봉자싸롱,외식,주점,16.0,0.4286405079415151,0.7463845932794789,0.42857142857142855,0.9689243027888447,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44755,[구조] 지역당 평균 점포수,0.33188,[변화] 점포 증가율,0.30556
